,Words,Counts
1492,hooks,1
1493,quality is pretty,1
1494,bass is a bit,1
1495,dac amp,1
1496,drops360 luxe,1
1497,small medium,1
1498,great sounding,1
1499,sounding ear,1
1500,cable noise,1
1501,in-ear earphone,1
1502,long term,1
1503,inline remote,1
1504,never fall,1
1505,get tangled,1
1506,years and still,1
1507,quality and durability,1
1508,great fit,1
1509,even during rigorous,1
1510,put them back,1
1511,wireless ear,1
