,Titles,Brands,Prices,Stars,Ratings,Review_Words
356,"Audio-Technica ATH-SPORT2YP SonicSport In-Ear Headphones, Yellow/Pink",Audio-Technica,34.95,3.8,22.0,['No Review']
357,Panasonic RP-HS6 Ear Clip Headphones (Discontinued by Manufacturer),Panasonic,7.9,3.3,18.0,"['sound quality', 'ear canal', 'sound better', 'stay in my ear', 'ears', 'bass', 'gym', 'earphones', 'ipod', 'fall', 'hear', 'volume', 'comfort', 'headset', 'player', 'sounds']"
358,Panasonic Stereo Earphones Sealed Green DEEP FIT BASS RP-HJE355-G (Japan Import),Panasonic,,3.5,2.0,['No Review']
359,"Audio-Technica ATH-SPORT70BTBK SonicSport Bluetooth Wireless In-Ear Headphones, Black (Renewed)",Amazon Renewed,24.99,4.0,0.0,['No Review']
360,Premium Lightweight Water-Resistant Sweat-Proof Active Sport Extra Bass Stereo Headphones with in-Line Remote & Mic,JBL,,,0.0,['No Review']
361,Philips Stereo Headphones LFH-334 Under-the-Chin Style Stereo Headset for All Philips Desktops,PHILIPS,45.25,3.8,10.0,['No Review']
362,"Sony WI-C310 Wireless in-Ear Headphones, Black (WIC310/B) with Hard Shell Earphone case bundlewith Hard Shell Earphone case Bundle",Sony,39.99,4.3,81.0,"['battery life', 'hear', 'earbuds', 'satisfied', 'noise']"
363,Skullcandy Push True Wireless In-Ear Earbud - Dark Grey,Skullcandy,89.99,3.6,1329.0,"['battery life', 'sound quality', 'skullcandy', 'wireless earbuds', 'true wireless', 'noise cancellation', 'right earbud', 'noise cancelling', 'waste your money', 'left bud', 'left earbud', 'right earbud', 'left ear']"
364,"Koss KSC32i V Sport Clip Headphones, Violet",Koss,19.99,3.9,258.0,"['sound quality', 'stay in my ears', 'stay in place', 'earbuds', 'great sound', 'couple years', 'second pair', 'wireless bluetooth', 'good enough', 'pair that lasted', 'favorite headphones', 'sound is great', 'listen to music']"
365,"2 x Samsung 3.5mm in-Ear Stereo Headset OEM EO-EG900BW, White (Bulk Packaging)",SAMSUNG,16.75,3.8,2026.0,"['sound quality', 'waste your money', 'stopped working', 'came with my phone', 'earbud', 'dollar store', 'came with my galaxy', 'get what you pay', 'phone calls', 'real deal', 'buttons work', 'like the ones', 'second pair']"
366,JBL Reflect Mini 2 Wireless in-Ear Sport Headphones with Three-Button Remote and Microphone - Green,JBL,,4.1,36.0,['No Review']
367,Sony MDRXB400IP/AP EX Headphones for iPod/iPhone/iPad,Amazon Renewed,,5.0,2.0,['No Review']
368,Fashion Earbuds - Black,Sony,,,0.0,['No Review']
369,"Koss KEB32P Fitbuds Lightweight Headphones, Purple",Koss,29.99,3.8,38.0,"['earbuds', 'ear canals', 'small ear', 'bought a pair', 'earbuds', 'ears', 'headphones', 'women', 'fall', 'stay', 'expecting', 'guess', 'bud', 'excited', 'name', 'silicone', 'smallest', 'tinny']"
370,Monster ClarityHD High Definition in-Ear Headphones - Black,Monster,11.99,4.1,44.0,['No Review']
371,Skullcandy Smokin' Buds 2 In-Ear Earbud - Black,Skullcandy,19.99,4.3,3051.0,"['sound quality', 'skullcandy', 'stopped working', 'great sound', 'waste your money', 'new pair', 'years ago', 'highly recommend', 'earbud', 'headphones', 'volume control', 'another pair', 'listening to music']"
372,"Plantronics Explorer 500, Black, Bluetooth, 203621-05 (Renewed)",Amazon Renewed,24.99,4.0,625.0,"['battery life', 'sound quality', 'bluetooth', 'highly recommend', 'waste of money', 'background noise', 'works well', 'hands free', 'talk time', 'noise cancellation', 'really like', 'comfortable to wear', 'long time']"
373,JBL Duet Arc Wireless Pure Bass Sound Hands-Free Calls Headphones - Black,JBL,,3.8,29.0,['No Review']
374,Samsung EO-IG955 Earphones Tuned by AKG Gray - New,SAMSUNG,10.72,3.7,916.0,"['sound quality', 'waste of money', 'earbuds', 'came with my phone', 'ones that came', 'knock offs', 'headphones that came', 'eligible for return', 'came with my galaxy', 'look and feel', 'left ear', 'akg headphones']"
375,Sony Wireless Stereo Headset SBH24W - Black (Japan Domestic Genuine Products),Sony,58.99,3.9,63.0,['No Review']
376,Panasonic in-Ear Lightweight Water-Resistant Active Sport Stereo Headphones with in-line Microphone and Remote (Black),Panasonic,24.95,4.1,13.0,['No Review']
377,Education Headphones,Koss,,,0.0,['No Review']
378,Plantronics-CS540 Convertible Wireless Headset,Plantronics,179.99,4.3,1053.0,"['sound quality', 'battery life', 'hands free', 'handset lifter', 'highly recommend', 'easy to install', 'easy to set', 'ehs cable', 'much better', 'easy to use', 'desk phone', 'lightweight', 'stopped working']"
379,JVC canal type earphone Black HA-FRH10-B,JVC,62.53,3.9,6.0,['No Review']
380,JBL JBLV150NXT,JBL,,3.8,14.0,['No Review']
381,Panasonic RP-HC75-S Noise Canceling Stereo Ear-Bud Headphones with Double Auto Rewinding Cord System (Discontinued by Manufacturer),Panasonic,,2.0,2.0,['No Review']
382,Panasonic Rp-hs34-r Sweat-Resistant Sports Earbuds - red,Panasonic,17.94,3.2,3.0,['No Review']
383,JVC Full Sized Over Ear Headband Over Ear Full Size Headband Black (HARX330),JVC,13.59,4.3,2633.0,"['sound quality', 'pair of headphones', 'good sound', 'great price', 'volume control', 'comfortable to wear', 'get what you pay', 'highly recommend', 'headphones', 'good for the price', 'outside noise']"
384,Plantronics Voyager 3200 UC Discreet Bluetooth Headset System,Plantronics,,4.0,87.0,"['sound quality', 'works great', 'calls', 'headset', 'laptop', 'bluetooth', 'ear', 'skype', 'computer', 'usb', 'charging', 'hear', 'noise', 'office']"
385,KOSS 191651 KE5 Earbuds (Black),Koss,6.48,3.0,27.0,['No Review']
386,"UKDapper JVC HAF160 White Gumy Bass Boost Stereo Headphones for iPod, iPhone, MP3 and Smartphone",JVC,14.99,3.9,21.0,['No Review']
387,Sony WI-SP510 Wireless in-Ear Headphones (Black) with Knox Gear Noise Isolating Memory Foam Tips and Silicone Earbuds (3 Pairs Each) Bundle (2 Items),Sony,59.99,1.0,2.0,['No Review']
388,Gumy Wireless Bluetooth In Ear Headphones White,JVC,39.72,3.9,34.0,['No Review']
389,"Philips SHE4205BK Flite Hyprlite In-Ear Headphone with Mic (Lightweight, Metallic Design, Remote Control) - Black",PHILIPS,,3.8,758.0,['No Review']
390,KOSS AUDIO & VIDEO KE5K LIGHTWEIGHT EARBUDS BLACK (1 piece),Koss,13.51,,0.0,['No Review']
391,"Philips in Ear Headphones Wired Earbuds with Microphone Powerful Bass Hi-Res Audio, Comfort Fit Lightweight",PHILIPS,29.9,3.5,36.0,"['sound quality', 'noise cancellation', 'sounds isint even good', 'bass', 'mic']"
392,"JVC Noise Cancelling Wireless Earbuds, Rain Proof IPX4, Voice Assistant Compatible - HAFX65BNB(Black)",JVC,89.24,3.1,22.0,"['noise cancelling', 'sound quality', 'noise cancellation', 'background noise', 'wireless earbuds', 'battery life', 'price point', 'listening to music', 'pretty good', 'good sound', 'around your neck', 'sound very good']"
393,Philips MyJam Chromz in Ear Earbud Headphones - Black & Silver (SHE3850SG/27),PHILIPS,24.0,3.2,3.0,['No Review']
394,"Skullcandy Jib In-Ear Noise-Isolating Earbuds, Lightweight, Stereo Sound and Enhanced Base, Wired 3.5mm Jack Connectivity, Red/Black",Skullcandy,15.99,3.9,867.0,"['skullcandy', 'earbuds', 'sound quality', 'stopped working', 'great sound', 'good quality', 'noise isolating', 'still hear', 'like these skullcandy earbuds', 'really like', 'earbuds for the price', 'second pair', 'worked great']"
395,JVC Pink HA-F160-P-K Gumy Headphone,JVC,12.42,,0.0,['No Review']
396,Koss-headphones Plug R Noise Isolating Earbud Red - Memory Foam Cushions,Koss,13.09,,0.0,['No Review']
397,"Audio-Technica ATH-CKR55BTBK Sound Reality Bluetooth Wireless In-Ear Headphones with In-Line Mic & Control, Black",Audio-Technica,,3.4,14.0,['No Review']
398,Plantronics Explorer 500 Mobile Bluetooth Headset - Mono - Black - Wireless - Bluetooth - 32.8 ft - Earbud - Monaural - Outer-ear - Noise Canceling,Plantronics,72.48,4.1,24.0,['No Review']
399,Beats EP Wired Headphones - Blue with AppleCare+ Bundle,Beats,120.0,5.0,0.0,['No Review']
400,Sony MDRE10LP Earbud Headphones - White/blue (Discontinued by Manufacturer),Sony,,3.1,35.0,"['sound quality', 'earbuds', 'right ear', 'highly recommend', 'set of earbuds', 'best sound', 'ipod earbuds', 'good sound', 'headphones', 'earphones', 'ears', 'bass', 'gym', 'target', 'cost', 'fall', 'hearing', 'lasted']"
401,Panasonic RP-HS34E-R RED Sport Headphones RPHS34,Panasonic,16.71,4.0,164.0,['No Review']
402,Skullcandy Indy XT True Wireless in-Ear Earbud - Black,Skullcandy,59.99,3.6,125.0,['No Review']
403,"JLab Audio JBuds Hi-Fi Noise-Reducing Ear Buds, Guaranteed for Life - Black/Blue",JLAB,14.8,3.4,1077.0,"['sound quality', 'stopped working', 'get what you pay', 'earbud', 'waste of money', 'great price', 'recommend these to anyone', 'skullcandy', 'headphones', 'much better', 'another pair', 'great sound', 'good sound']"
404,Sony MDR-EX155AP in-Ear Headphones with Mic (White),Sony,,3.8,149.0,['No Review']
405,Panasonic in-Ear Lightweight Water-Resistant Active Sport Stereo Headphones with Mic/Remote for iPhone and iPod (White),Panasonic,,1.0,0.0,['No Review']
406,Samsung Active InEar Headphones for Universal/SmartPhones - Retail Packaging - White - EO-EG920LWEGUS,SAMSUNG,19.99,4.4,576.0,"['sound quality', 'stopped working', 'working after 2 months', 'real deal', 'came with my galaxy', 'knock offs', 'outside noise', 'ones that came', 'great sound', 'phone calls', 'came with my phone', 'earbud', 'another pair']"
407,"Skullcandy S2IKHY-476 Wink'd Women's In-Ear Headphones with Earbud, Mic & Remote, Mash-Up/Clear/Coral",Skullcandy,,3.4,72.0,"['skull candy', 'earbud', 'good quality', 'broke', 'headphones', 'earbuds', 'ears', 'floral', 'sad', 'buds', 'happened', 'wires']"
408,Bang & Olufsen Beoplay E8 2.0 Truly Wireless Bluetooth Earbuds and Charging Case - Limestone with Wireless Charging Pad,Bang & Olufsen,344.89,,0.0,['No Review']
409,Audio-technica Monaural Earphone (For Radio) Dmk-32,Audio-Technica,17.5,3.8,320.0,['No Review']
410,SAMSUNG in-Ear Headphones with Remote - Black with Mic & Remote,SAMSUNG,,4.2,173.0,['No Review']
411,"Panasonic RP-TCM115 Canal-Type in-Ear Headphones, Blue",Panasonic,,,0.0,['No Review']
412,Skullcandy Ink'd 2.0 Mic'd Earbuds Blue,Skullcandy,,,0.0,['No Review']
413,"Philips SHS3200PK/37 Flexible Earhook Headphones, Pink",PHILIPS,18.49,3.9,6160.0,"['sound quality', 'small ears', 'stopped working', 'second pair', 'ear canal', 'earhooks', 'sound is good', 'earhook headphones', 'much better', 'another pair', 'headphones', 'great price', 'good price', 'around the ear']"
414,Sony Extra Bass Active Sports in Ear Ear Bud Over The Ear Splashproof Premium Headphones Deep-Pink (Limited Edition),Sony,18.99,4.1,264.0,"['sound quality', 'earbuds', 'extra bass', 'stopped working', 'stay in my ears', 'stay in place', 'great sound', 'feel like', 'ear hooks', 'much better', 'model sony mdr-as', 'still hear', 'hard time', 'long time', 'sound great']"
415,"Koss BT115i Wireless Bluetooth Earbuds, in-Line Microphone, Volume Control and Touch Remote, Sweat Resistant, Dark Grey and Black",Koss,29.99,3.4,30.0,"['battery life', 'sound quality', 'sound is very good', 'headphones', 'ear', 'bluetooth', 'buds', 'earbuds', 'bass', 'plugs', 'owned', 'wireless', 'audio', 'range', 'stay']"
416,"Pioneer in-Ear Compact Direct Mount Design Headphones, Black, SE-C1T(B)",Pioneer,10.9,3.5,3.0,['No Review']
417,"Samsung Galaxy Buds+ Plus, True Wireless Earbuds, Cloud Blue and Samsung Wireless Charger Duo Pad, Fast Charge 2.0, Black (US Version)",SAMSUNG,,,0.0,['No Review']
418,Sony WF-XB700 True Wireless Earbuds with Extra BASS (Black) with MDR-EX15AP EX Series Earbud Headset with Mic (Black) Bundle (2 Items),Sony,129.99,4.1,4.0,['No Review']
419,"Shure SE215 Wireless Earphones with Bluetooth 5.0, Sound Isolating, Clear",Shure,,4.1,367.0,"['battery life', 'sound quality', 'foam tips', 'special edition', 'noise cancellation', 'carrying case', 'true wireless', 'riding my motorcycle', 'good sound', 'ear tips', 'loud enough', 'around your ear', 'great sound']"
421,JVC Canal Type Earphone HA-FXH30,JVC,260.52,3.6,72.0,['No Review']
422,JBL TUNE 205 - In-Ear Headphone with One-Button Remote/Mic - Chrome,JBL,24.0,4.2,22.0,['No Review']
423,Monster Clarity HD In Ear Earbud Headphones with Microphone - White,Monster,7.99,4.3,25.0,['No Review']
424,Panasonic SAKIOTO Sealed Earbuds (Momo Pink) Inner Earphones,Panasonic,,3.7,12.0,['No Review']
425,SONY Canal type Earphone lime green MDR-EX150 / G,Sony,38.13,4.4,12.0,['No Review']
426,Sony - C400 Wireless Behind-Neck in Ear Headphone Black (WIC400/B),Sony,,4.1,1715.0,"['battery life', 'sound quality', 'around the neck', 'stopped working', 'behind the neck', 'listening to music', 'great sound', 'phone call', 'earbud', 'long battery', 'bluetooth headphones', 'headphones', 'waste your money']"
427,Sony Premium Lightweight Extra Bass Earbud Headphones with In-line Microphone and Remote for Android Smartphone (Blue),Sony,,4.5,18.0,['No Review']
428,Shure KSE1500 Electrostatic Earphone System,Shure,,4.0,42.0,"['ever heard', 'chord mojo', 'dac and dedicated tube amp', 'best ever', 'battery life', 'listening experience', 'sound quality', 'make sure', 'worth the price', 'pair well', 'iems including', 'sound signature']"
429,Monster Clarity HD in-Ear Bluetooth Headphones - Black and Black Platinum,Monster,49.99,3.9,107.0,"['battery life', 'sound quality', 'sound quality is great', 'headphones', 'bluetooth', 'ear', 'earbuds', 'bass', 'annoying', 'buds', 'hear', 'iphone', 'weird', 'biggest', 'calls', 'multiple', 'stay']"
430,SONY Wireless Stereo Headset Black MDR-EX31BN / B,Sony,98.98,4.0,552.0,"['noise cancelling', 'battery life', 'sound quality', 'active noise', 'noise cancellation', 'cord to short', 'bluetooth headset', 'great sound', 'good noise', 'headphones', 'clip', 'earphones', 'hear', 'pocket']"
431,JVC America Genuine Gumy Headphone Green,JVC,15.75,,0.0,['No Review']
432,SkullCandy Jib Wireless Headphones One Size Black,Skullcandy,,4.5,7.0,['No Review']
433,"JVC HAFX102V XX Xtreme Bass Earbuds, Violet",JVC,,4.2,320.0,"['sound quality', 'earbuds', 'headphone jack', 'sharp edges', 'pretty good', 'years ago', 'hurt my ears', 'another pair', 'price range', 'great bass', 'second pair', 'last a long', 'good bass', 'without the mic']"
434,JBL Synchros Reflect-i In Ear Sport Headphones Red,JBL,,3.4,48.0,"['ear tips', 'sound quality', 'stay in the ear', 'pair of headphones', 'great sound', 'sound great', 'earbuds', 'running', 'ears', 'cable', 'cord', 'controls', 'extension', 'feature', 'noise', 'cutting', 'fall']"
435,Sony MDRED12LP Earbud Headphones (Silver) (Discontinued by Manufacturer),Sony,,4.2,903.0,"['sound quality', 'ear canal', 'stopped working', 'second pair', 'another pair', 'highly recommend', 'much better', 'fit in my ears', 'sound good', 'earbud', 'great bass', 'outside noise', 'best earbuds', 'headphones', 'low price']"
436,JVC HA-FR100X-SE In-ear Headphones Silver/White,JVC,29.7,2.8,5.0,['No Review']
437,"ClarityMobile(TM) High Performance In-Ear Corded Headset In-Ear, ControlTalk Universal - White",Monster,17.9,,0.0,['No Review']
438,BeatsX Wireless Earphones - Apple W1 Chip - Satin Silver with AppleCare+ Bundle,Beats,113.0,5.0,5.0,['No Review']
439,"Sony WI-C600N Wireless Noise Canceling in-Ear Headphones, Black (WIC600N/B) (WI-C600N/B)",Sony,148.0,3.5,75.0,"['battery life', 'sound quality', 'noise cancellation', 'around your neck', 'noise cancelling', 'active noise', 'background noise', 'wireless noise', 'matte black', 'earbuds', 'wi-c600n wireless', 'in-ear headphones']"
440,Skullcandy Strum In-Ear Earbud - Street Black,Skullcandy,28.5,4.2,856.0,"['sound quality', 'skullcandy', 'volume control', 'stopped working', 'great sound', 'fell apart', 'last pair', 'smoking buds', 'build quality', 'second pair', 'right earbud', 'best fit', 'earbuds i have ever', 'left earbud']"
441,Sennheiser CX 2.00i Black In-Ear Canal Headset (Discontinued by Manufacturer),Sennheiser Consumer Audio,,3.7,760.0,"['stopped working', 'sound quality', 'highly recommend', 'price range', 'skull candy', 'great sound', 'fit well', 'right side', 'earbuds', 'outside noise', 'ear canal', 'especially for the price', 'really like']"
442,"Koss KEB15i In-Ear Headphone, Teal",Koss,14.99,4.3,42.0,"['pair of earbuds', 'sound quality', 'bass', 'ear', 'headphones', 'value', 'allows', 'earbud', 'mic']"
443,"Skullcandy Fix in-Ear Headphones w/Mic3 White/Chrome, One Size",Skullcandy,49.99,3.7,166.0,"['sound quality', 'skullcandy', 'earbud', 'buttons work', 'play and pause', 'volume control', 'stay put', 'sound good', 'volume buttons', 'great headphones', 'listening to music', 'stopped working', 'left side']"
444,"Sony MDR-EX25LP/VLT Earbuds, Violet",Sony,,3.7,17.0,['No Review']
445,"Monster Octagon In-Ear Headphones, Black",Monster,29.99,3.6,38.0,"['earbuds', 'in-ear headphones', 'sound quality', 'octagon in-ear', 'noise isolation', 'listen to music', 'every day', 'mids and high', 'multiple sizes', 'good sound', 'fit perfectly', 'stay put']"
446,Philips UpBeat ClearTones in Ear Earbud Headphones - Pink (SHE3010PH/27),PHILIPS,10.88,3.0,2.0,['No Review']
447,Skullcandy Smokin Bud 2 Earphones Black/Hot Blue,Skullcandy,,4.1,5.0,['No Review']
448,Skdy Inkd 2.0 Cyan,Skullcandy,17.99,3.3,29.0,['No Review']
449,Panasonic RP-HS220-A Inner Ear Clip Sports w/Extension (Blue) (Discontinued by Manufacturer),Panasonic,22.99,3.8,25.0,"['sound quality', 'ear buds', 'headphones', 'gym', 'extension', 'length']"
450,"Sony Sony mdrzx110 zx series stereo headphones white, 0.8 Ounce",Sony,,3.0,3.0,['No Review']
451,Shure SE535LTD Limited Edition Red Sound Isolating Earphones with Remote + Microphone,Shure,,3.6,53.0,"['volume control', 'limited edition', 'able to hear', 'never heard', 'much better', 'ear pieces', 'better sound', 'lack of bass', 'quality sound', 'sound quality', 'amazing sound', 'sound better', 'cable', 'earbuds']"
452,JBL Free X - True Wireless in-Ear Headphone - Black,JBL,99.93,5.0,2.0,['No Review']
453,"JVC Air Cushion Wireless Earbuds, 6.5-Hour Battery Life, Sweatproof IPX2, 3-Button Remote (White)",JVC,,,0.0,['No Review']
454,"Monster Clarity HD In-Ear Headphones, Neon Pink (Certified Refurbished)",Amazon Renewed,7.49,,0.0,['No Review']
455,"JVC Gumy Truly Wireless Earbuds Headphones, Bluetooth 5.0, Water Resistance(IPX4), Long Battery Life (up to 15 Hours) - HAA7TP (Pink)",JVC,29.95,,0.0,['No Review']
456,Jabra Wave Bluetooth Headset- Red [Retail Packaging],Jabra,199.99,2.4,6.0,['No Review']
457,Philips in-Ear Headphones with Microphone (Rich Sound),PHILIPS,17.94,4.0,272.0,['No Review']
458,JVC Victor In-ear Stereo Headphones for Sports | HA-EBX86-W White (Japanese Import),JVC,32.0,3.6,32.0,['No Review']
459,Shure SE535-V-J Sound Isolating Earphones (International Version),Shure,,3.8,43.0,"['mids and highs', 'bass', 'earphones', 'headphones', 'expensive', 'clarity']"
460,Skullcandy Pro Headphone Travel Kit (Black),Skullcandy,29.99,,0.0,['No Review']
461,Jabra EarWrap Headset for phones with a 2.5mm Jack,Jabra,,2.3,7.0,['No Review']
462,Koss 168990 The Plug Earbuds,Koss,23.96,,0.0,['No Review']
463,JBL Wired In-Ear Earphones Noise Reduction Isolation Music Sport Running headphones Headset With Mic For Smartphone Headphones,JBL,33.59,3.4,32.0,['No Review']
464,Powerbeats High-Performance Wireless Earphones - Apple H1 Chip - Black with AppleCare+ Bundle,Beats,158.95,4.5,9.0,['No Review']
465,Sennheiser CX 300S In Ear Headphone with One-Button Smart Remote - Red,Sennheiser Consumer Audio,49.95,4.3,341.0,"['sound quality', 'noise cancellation', 'price point', 'good sound', 'really good', 'outside noise', 'listening to music', 'pretty good', 'use for phone', 'sound great', 'love sennheiser', 'audio quality']"
466,Sony MDR-A35G Headphones (Discontinued by Manufacturer),Sony,149.95,3.9,392.0,"['sound quality', 'sweat guard', 'sports headphones', 'good sound', 'stopped working', 'another pair', 'sound good', 'ear canal', 'guard mechanism', 'gym bag', 'great sound', 'much better']"
467,JLab Audio Gravity Bluetooth Wireless Neckband | Bluetooth 4.1 | Titanium 10mm Drivers | 10 Hour Battery Life | 3.5mm Headphone Jack Plug-in | Black,JLAB,,3.7,46.0,"['battery life', 'cable management', 'sound quality', 'phone calls', 'sound great', 'included earbuds', 'around my neck', 'use the earbuds', 'neckband', 'audio', 'ear', 'hear', 'wired', 'cord', 'buds']"
468,Panasonic RP-HJE125-V Wired Earphones,Panasonic,,4.5,604.0,['No Review']
469,JVC Pink and Green Nozzel Secure Comfort Fit Sweat Proof Gumy Sport Earbuds with long colored cord HA-EN10P,JVC,14.93,4.2,556.0,"['sound quality', 'stay put', 'pretty good', 'stay in my ear', 'earbud', 'bud covers', 'sound good', 'ear canal', 'absolutely love', 'second pair', 'small ears', 'anything else', 'ever owned', 'stay in place', 'price point']"
470,SONY | MDR-EX55LP Pink Rose High Performance Earbuds / Earphones / Headphones,Sony,,3.0,4.0,['No Review']
471,Beats by Dr. Dre BeatsX Wireless In-Ear Headphones - Black (Renewed),Amazon Renewed,,3.7,744.0,"['battery life', 'stopped working', 'sound quality', 'power button', 'new ones', 'brand new', 'wireless in-ear', 'sound great', 'good sound', 'headphone', 'phone calls', 'waste your money', 'pairing process']"
472,Koss PATHFINDRW Lightweight Earbud Stereophone with In-line Volume Control - (WHITE),Koss,,3.7,202.0,"['volume control', 'earbuds', 'sound quality', 'ear canal', 'ear plugs', 'stay in my ears', 'going strong', 'in-line volume', 'outside noise', 'much better', 'years ago', 'in-ear headphones', 'noise cancelling', 'feel like']"
473,JVC HAF12B in-Ear Stereo Headphones - Black,JVC,18.49,,0.0,['No Review']
474,JLab Audio Epic Sport2 Wireless Earbuds | Black | Active Lifestyle 20+ Hour Battery Life | Bluetooth 5 | IP66 Sweatproof | Built in Microphones | Noise Isolation | Extra Gel Tips & Cush Fins,JLAB,49.99,3.8,41.0,"['battery life', 'ear', 'bluetooth', 'earbuds', 'headphones', 'buds', 'hear']"
475,Sony MDREX36V/BLU EX Earbud Headphone (Blue) (Discontinued by Manufacturer),Sony,,3.2,58.0,"['volume control', 'sound quality', 'stopped working', 'listen to music', 'in-line volume', 'fall out of my ears', 'different sizes', 'best headphones', 'years ago', 'high end', 'last pair', 'quality is good', 'earbud']"
476,Sony MDREX15AP Fashion Color EX Series Earbud Headset with Mic (White),Sony,,3.8,1527.0,"['sound quality', 'stopped working', 'earbud', 'sound great', 'another pair', 'good sound', 'left earbud', 'last for a long', 'bought this pair', 'left ear', 'recommend it to anyone', 'poor quality', 'already broken', 'mic button']"
477,Audio Technica ATH-EQ300M PL Purple | Ear-Fit Headphones (Japan Import),Audio-Technica,15.0,4.3,211.0,"['sound quality', 'audio technica', 'great sound', 'earbuds', 'different lengths', 'piece broke', 'good sound', 'listen to music', 'ear piece', 'pretty good', 'quality is really', 'great headphones', 'good sound quality']"
478,JBL E55BT Over-Ear Wireless Headphones Black,JBL,79.99,4.4,656.0,"['sound quality', 'battery life', 'build quality', 'noise cancelling', 'noise cancellation', 'stopped working', 'great sound', 'left ear', 'good sound', 'ear cups', 'via bluetooth', 'hurt my ears']"
479,"JVC Truly Wireless AE Sport Headphones, 27H Total Battery Life with Charging Case, Touch & Talk, Bluetooth 5.0, Touch Sensor Control, Waterproof IP55 (Gray)",JVC,149.95,,0.0,['No Review']
480,JVC HAFX5V Gumy(R) Plus Inner-Ear Earbuds (Violet) Consumer electronic,JVC,16.39,,0.0,['No Review']
481,JVC HAFR15B in-Ear Headphones with Microphone (Black),JVC,14.95,,0.0,['No Review']
482,"Panasonic RPHJE290K Earbud Earphone, Black",Panasonic,,4.6,2.0,['No Review']
483,PANASONIC RP-HJE125-A HJE125 ErgoFit in-Ear Earbuds (Blue) Consumer Electronics,Panasonic,16.75,,0.0,['No Review']
484,Sony MDR-AS40EX Active Style Headphones Earbud Style (Black),Sony,149.95,4.0,278.0,"['sound quality', 'stopped working', 'short cord', 'another pair', 'second pair', 'earbud', 'small ears', 'extension cord', 'great sound', 'waste of money', 'wrap around', 'different sizes', 'cord length']"
485,"Skullcandy Smokin' Buds 2 In-Ear Bluetooth Wireless Earbuds with Microphone, Black",Skullcandy,25.04,4.2,3799.0,"['battery life', 'sound quality', 'skullcandy', 'around my neck', 'stopped working', 'smokin buds', 'back of my neck', 'phone in my pocket', 'low battery', 'comfortable to wear', 'bluetooth headphones']"
486,"JLab Audio Comfort Petite high-performance earbuds, blissfully slim, soft rounded shape, ultra-compact titanium micro drivers Headphones, GUARANTEED FOR LIFE - Pink",JLAB,34.99,3.9,62.0,"['earbuds', 'hurt my ears', 'sound quality', 'petite earbuds', 'last a long', 'small ears', 'new pair', 'ears stay', 'great sound', 'tiny', 'pairs', 'canals', 'comfort', 'fall', 'microphone', 'noise', 'smaller', 'wire']"
487,Samsung Level Active Bluetooth Wireless Fitness Earbuds HD Premium Sound Sweat & Splash Resistant - with Car-Charger 3FT USB C OTG (US Retail Packing Kit),SAMSUNG,38.99,3.9,26.0,['No Review']
488,Koss Earbud Stereophone (168990) -,Koss,19.62,,0.0,['No Review']
489,JVC Pink and Green Nozzel Secure Comfort Fit Sweat Proof Gumy Sport Earbuds with long colored cord HA-EN1R15P,JVC,16.4,4.3,180.0,"['sound quality', 'stay in my ears', 'earbuds', 'work well', 'stopped working', 'best earbuds', 'earbuds ever', 'quality of sound', 'quality is better', 'apple earbuds', 'good quality', 'sound good', 'headphones', 'yurbuds']"
490,JVC Victor In-ear Stereo Headphones for Sports | HA-EBX86-A Blue (Japanese Import),JVC,27.62,3.5,25.0,['No Review']
491,Sony Super Lightweight in-Ear Noise Canceling Headphones,Sony,,,0.0,['No Review']
492,JVC Hi-Res corresponding canal type earphone HA-FX99X-B (Black),JVC,108.9,4.2,171.0,['No Review']
493,PANASONIC RP-HJE125-A HJE125 ErgoFit In-Ear Earbuds (Blue) Electronic Accessories,Panasonic,,,0.0,['No Review']
494,Koss-headphones Ke10p Pink Stereo Earbuds Slim - Contour Design Soft Rubber Body,Koss,14.45,,0.0,['No Review']
495,JLab Audio JBuds Pro Bluetooth Wireless Signature Earbuds | Titanium 10mm Drivers | 6-Hour Battery Life | Music Controls | Noise Isolation | Bluetooth 4.1 Extra Gel Tips and Cush Fins | Black,JLAB,19.88,4.4,1489.0,"['sound quality', 'battery life', 'second pair', 'bluetooth headphones', 'stopped working', 'bluetooth earbuds', 'work well', 'cush fins', 'pretty good', 'easy to use', 'phone calls', 'highly recommend']"
496,Shure SCL2 Sound Isolating Earphones - Clear,Shure,,3.2,33.0,"['sound isolating', 'bass response', 'ear pieces', 'new pair', 'able to hear', 'sent it back', 'outside noise', 'keep in mind', 'sound quality', 'lack of bass', 'high end', 'sound isolation', 'earbud', 'good news']"
497,"Sony NWWS623/B Waterproof and Dustproof Walkman with Bluetooth,Black",Sony,148.0,3.8,147.0,"['ear pieces', 'battery life', 'sound quality', 'device', 'player', 'swimming', 'ears', 'walkman', 'pool', 'running', 'waterproof', 'model', 'ambient', 'hear', 'mode', 'listen', 'previous', 'audio']"
498,JBL Everest 110 in-Ear Wireless Bluetooth Headphones (Gun Metal),JBL,46.95,3.7,33.0,['No Review']
499,"Audio Technica ATHCHX5ISWH SonicFuel Hybrid Earbud Headphones for Smartphones, White",Audio-Technica,38.95,2.5,51.0,"['sound quality', 'audio technica', 'headphones', 'ears', 'earbuds', 'uncomfortable', 'hurt', 'hybrid']"
